featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
wavelet.LHL_glszm_SmallAreaEmphasis,248,210,227,196,309,275,284,253,316,285,294,267,303,272,261,236,318,242,253,191
wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,59,57,53,51,100,96,96,92,126,119,120,114,138,127,120,112,137,117,102,86
wavelet.LHH_ngtdm_Busyness,362,316,345,305,441,414,426,399,543,496,505,463,654,577,572,512,723,579,576,455
gradient_firstorder_10Percentile,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
lbp.2D_firstorder_Variance,2,2,2,2,4,4,4,4,3,3,2,2,1,1,0,0,0,0,0,0
log.sigma.5.mm.3D_firstorder_Mean,44,38,41,36,50,48,46,44,44,37,41,34,43,35,39,31,58,48,43,33
log.sigma.5.mm.3D_glcm_Idn,2,2,2,2,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0
wavelet.LHH_glcm_ClusterProminence,3,2,2,2,3,3,3,3,5,4,4,3,2,1,2,1,1,1,1,1
square_glszm_LargeAreaHighGrayLevelEmphasis,0,0,0,0,1,1,1,1,1,1,0,0,2,2,2,2,2,1,1,0
exponential_glszm_SmallAreaHighGrayLevelEmphasis,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_glcm_ClusterTendency,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0
lbp.2D_firstorder_10Percentile,7,5,7,5,4,4,4,4,3,3,3,3,4,2,3,2,0,0,0,0
wavelet.HLL_glcm_JointEnergy,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_firstorder_Maximum,23,17,21,16,20,17,19,16,41,40,37,36,37,32,30,25,19,15,14,11
wavelet.HHL_glrlm_GrayLevelNonUniformityNormalized,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_firstorder_Minimum,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_firstorder_RootMeanSquared,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHH_glrlm_HighGrayLevelRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_glcm_Autocorrelation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squareroot_firstorder_Median,100,85,94,80,125,119,121,115,126,111,117,104,118,106,100,90,95,74,74,58
original_shape_VoxelVolume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHH_ngtdm_Coarseness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbp.3D.k_glrlm_ShortRunEmphasis,215,199,204,189,402,378,381,358,539,493,502,457,699,626,605,546,862,695,688,548
square_glszm_SmallAreaHighGrayLevelEmphasis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_glszm_SmallAreaEmphasis,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLH_glszm_GrayLevelVariance,3,3,3,3,5,5,5,5,0,0,0,0,2,2,1,1,0,0,0,0
original_shape_Flatness,168,154,152,145,214,202,203,191,217,196,205,184,275,244,244,216,292,240,239,196
wavelet.LHH_gldm_GrayLevelVariance,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.5.mm.3D_glcm_SumAverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
