featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
wavelet.LHL_glszm_SmallAreaEmphasis,601,485,505,423,763,617,646,532,902,726,710,582,960,690,677,479,981,648,573,389
wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,121,96,103,85,169,144,147,129,257,206,189,152,344,262,237,179,465,310,271,180
wavelet.LHH_ngtdm_Busyness,422,348,345,298,579,485,501,427,688,568,533,451,780,583,556,413,855,566,498,336
gradient_firstorder_10Percentile,7,3,4,1,4,2,4,2,7,5,4,3,5,4,1,1,2,1,0,0
lbp.2D_firstorder_Variance,48,32,39,27,96,77,89,75,129,106,101,86,180,135,132,98,220,144,141,95
log.sigma.5.mm.3D_firstorder_Mean,176,157,159,143,240,206,207,182,265,222,195,166,294,232,195,150,336,230,186,127
log.sigma.5.mm.3D_glcm_Idn,66,57,57,50,115,98,102,91,195,162,154,130,279,208,198,148,339,222,184,123
wavelet.LHH_glcm_ClusterProminence,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
square_glszm_LargeAreaHighGrayLevelEmphasis,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
exponential_glszm_SmallAreaHighGrayLevelEmphasis,4,3,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis,1,1,1,1,0,0,0,0,2,1,2,1,1,1,1,1,0,0,0,0
wavelet.HHL_glcm_ClusterTendency,1,0,1,0,2,2,2,2,1,1,2,1,1,1,0,0,1,1,1,1
lbp.2D_firstorder_10Percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glcm_JointEnergy,3,1,1,0,3,1,3,1,3,1,2,1,1,1,1,1,0,0,0,0
wavelet.LHL_firstorder_Maximum,12,10,10,8,10,8,9,7,17,11,12,7,17,10,13,7,19,12,5,4
wavelet.HHL_glrlm_GrayLevelNonUniformityNormalized,1,0,1,0,5,3,4,3,3,3,3,3,1,1,1,1,5,3,2,1
log.sigma.3.mm.3D_firstorder_Minimum,6,5,6,5,8,6,5,4,8,7,6,5,11,8,8,5,2,0,1,0
wavelet.LHL_firstorder_RootMeanSquared,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
wavelet.HHH_glrlm_HighGrayLevelRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
wavelet.LHL_glcm_Autocorrelation,1,1,1,1,2,0,1,0,4,4,2,1,2,2,0,0,7,2,3,0
squareroot_firstorder_Median,276,244,254,228,456,392,407,355,599,515,464,402,749,555,526,382,783,534,460,318
original_shape_VoxelVolume,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
wavelet.HHH_ngtdm_Coarseness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbp.3D.k_glrlm_ShortRunEmphasis,160,137,135,120,275,229,237,197,412,346,317,269,576,454,417,324,700,466,414,279
square_glszm_SmallAreaHighGrayLevelEmphasis,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0
